,date,code_number,CCAA,number_of_cases,hospitalized,ICU,recovered
1305,2/21/2020,14,Murcia,0,,,
1306,2/22/2020,14,Murcia,0,,,
1307,2/23/2020,14,Murcia,0,,,
1308,2/24/2020,14,Murcia,0,,,
1309,2/25/2020,14,Murcia,0,,,
1310,2/26/2020,14,Murcia,0,,,
1311,2/27/2020,14,Murcia,0,,,
1312,2/28/2020,14,Murcia,0,,,
1313,2/29/2020,14,Murcia,0,,,
1314,3/1/2020,14,Murcia,0,,,
1315,3/2/2020,14,Murcia,0,,,
1316,3/3/2020,14,Murcia,0,,,
1317,3/4/2020,14,Murcia,0,,,
1318,3/5/2020,14,Murcia,0,,,
1319,3/6/2020,14,Murcia,0,,,
1320,3/7/2020,14,Murcia,0,,,
1321,3/8/2020,14,Murcia,1,,,
1322,3/9/2020,14,Murcia,4,,0.0,0.0
1323,3/10/2020,14,Murcia,9,,0.0,0.0
1324,3/11/2020,14,Murcia,11,4.0,0.0,0.0
1325,3/12/2020,14,Murcia,26,5.0,1.0,0.0
1326,3/13/2020,14,Murcia,35,8.0,2.0,0.0
1327,3/14/2020,14,Murcia,47,8.0,2.0,0.0
1328,3/15/2020,14,Murcia,71,13.0,2.0,0.0
1329,3/16/2020,14,Murcia,77,13.0,2.0,1.0
1330,3/17/2020,14,Murcia,97,18.0,3.0,1.0
1331,3/18/2020,14,Murcia,122,22.0,4.0,1.0
1332,3/19/2020,14,Murcia,167,36.0,6.0,1.0
1333,3/20/2020,14,Murcia,204,47.0,11.0,1.0
1334,3/21/2020,14,Murcia,240,61.0,14.0,1.0
1335,3/22/2020,14,Murcia,296,78.0,16.0,1.0
1336,3/23/2020,14,Murcia,345,80.0,23.0,1.0
1337,3/24/2020,14,Murcia,385,99.0,26.0,1.0
1338,3/25/2020,14,Murcia,477,127.0,33.0,4.0
1339,3/26/2020,14,Murcia,596,172.0,36.0,9.0
1340,3/27/2020,14,Murcia,714,209.0,53.0,12.0
1341,3/28/2020,14,Murcia,802,231.0,58.0,12.0
1342,3/29/2020,14,Murcia,872,260.0,58.0,16.0
1343,3/30/2020,14,Murcia,939,265.0,58.0,17.0
1344,3/31/2020,14,Murcia,974,283.0,59.0,20.0
1345,4/1/2020,14,Murcia,1041,304.0,59.0,43.0
1346,4/2/2020,14,Murcia,1084,389.0,68.0,45.0
1347,4/3/2020,14,Murcia,1145,405.0,72.0,90.0
1348,4/4/2020,14,Murcia,1188,434.0,79.0,113.0
1349,4/5/2020,14,Murcia,1235,447.0,80.0,130.0
1350,4/6/2020,14,Murcia,1259,468.0,81.0,156.0
1351,4/7/2020,14,Murcia,1263,500.0,84.0,193.0
1352,4/8/2020,14,Murcia,1305,515.0,86.0,203.0
1353,4/9/2020,14,Murcia,1340,533.0,87.0,219.0
1354,4/10/2020,14,Murcia,1367,533.0,88.0,255.0
1355,4/11/2020,14,Murcia,1404,533.0,88.0,275.0
1356,4/12/2020,14,Murcia,1436,537.0,91.0,344.0
1357,4/13/2020,14,Murcia,1452,543.0,94.0,353.0
1358,4/14/2020,14,Murcia,1479,566.0,96.0,476.0
1359,4/15/2020,14,Murcia,1528,574.0,97.0,513.0
1360,4/16/2020,14,Murcia,1590,575.0,97.0,516.0
1361,4/17/2020,14,Murcia,1626,585.0,99.0,545.0
1362,4/18/2020,14,Murcia,1647,611.0,102.0,638.0
1363,4/19/2020,14,Murcia,1653,612.0,102.0,652.0
1364,4/20/2020,14,Murcia,1659,612.0,103.0,662.0
1365,4/21/2020,14,Murcia,1696,614.0,104.0,702.0
1366,4/22/2020,14,Murcia,1717,622.0,104.0,761.0
1367,4/23/2020,14,Murcia,1721,624.0,104.0,766.0
1368,4/24/2020,14,Murcia,1741,625.0,105.0,791.0
1369,4/25/2020,14,Murcia,1756,625.0,105.0,842.0
1370,4/26/2020,14,Murcia,1771,627.0,106.0,920.0
1371,4/27/2020,14,Murcia,1771,627.0,106.0,990.0
1372,4/28/2020,14,Murcia,1793,629.0,106.0,1113.0
1373,4/29/2020,14,Murcia,1840,635.0,106.0,1153.0
1374,4/30/2020,14,Murcia,1894,637.0,108.0,1202.0
1375,5/1/2020,14,Murcia,1960,638.0,109.0,1229.0
1376,5/2/2020,14,Murcia,1966,639.0,110.0,1251.0
1377,5/3/2020,14,Murcia,1974,641.0,110.0,1260.0
1378,5/4/2020,14,Murcia,1974,645.0,110.0,1277.0
1379,5/5/2020,14,Murcia,2051,650.0,111.0,1381.0
1380,5/6/2020,14,Murcia,2133,650.0,111.0,1465.0
1381,5/7/2020,14,Murcia,2192,652.0,111.0,1527.0
1382,5/8/2020,14,Murcia,2252,659.0,113.0,1662.0
1383,5/9/2020,14,Murcia,2263,662.0,113.0,1767.0
1384,5/10/2020,14,Murcia,2329,662.0,113.0,1782.0
1385,5/11/2020,14,Murcia,2332,665.0,113.0,1786.0
1386,5/12/2020,14,Murcia,2333,665.0,112.0,1819.0
1387,5/13/2020,14,Murcia,2398,666.0,112.0,1861.0
1388,5/14/2020,14,Murcia,2437,672.0,112.0,1998.0
1389,5/15/2020,14,Murcia,2477,675.0,112.0,2034.0
1390,5/16/2020,14,Murcia,2546,676.0,112.0,2073.0
1391,5/17/2020,14,Murcia,2566,676.0,112.0,2084.0
